COURSE_ID,TITLE,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain,num_genres
excourse23,data analysis using python,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
excourse24,introduction to cloud computing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excourse25,cloud computing basics  cloud 101 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excourse26,cloud computing foundations,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excourse27,cloud computing concepts  part 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excourse28,fundamentals of cloud computing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excourse29,cloud computing concepts  part 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excourse30,cloud computing applications  part 1  cloud systems and infrastructure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excourse31,cloud computing applications  part 2  big data and applications in the cloud,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3
excourse32,introduction to data analytics,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
excourse33,excel basics for data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
excourse34,introduction to data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
excourse35,introduction to predictive modeling,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
excourse36,data analysis using python,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
excourse37,data analysis with r programming,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
excourse38,data analysis with python,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
excourse39,excel fundamentals for data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
excourse40,exploratory data analysis for machine learning,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
excourse41,introduction to data analysis using excel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
excourse42,big data analysis  hive  spark sql  dataframes and graphframes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
excourse43,cloud virtualization  containers and apis,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3
excourse44,alibaba cloud native solutions and container service,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3
excourse45,docker  basics,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
excourse46,machine learning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse47,machine learning for all,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse48,introduction to machine learning  language processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excourse49,applied machine learning in python,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
excourse50,build  train  and deploy ml pipelines using bert,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse51,introduction to machine learning in production,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse52,machine learning data lifecycle in production,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse53,deploying machine learning models in production,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse54,exploratory data analysis for machine learning,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
excourse55,advanced computer vision with tensorflow,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
excourse56,deep learning applications for computer vision,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
excourse57,deep learning in computer vision,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
excourse58,computer vision basics,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
excourse59,fundamentals of digital image and video processing,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
excourse60,introduction to tensorflow for artificial intelligence  machine learning  and deep learning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse61,convolutional neural networks in tensorflow,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
excourse62,introduction to data science in python,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
excourse63,a crash course in data science,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
excourse64,data science in real life,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
excourse65,data science fundamentals for data analysts,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
excourse66,executive data science capstone,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
excourse67,introduction to big data,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
excourse68,big data modeling and management systems,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
excourse69,machine learning with big data,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
excourse70,big data   capstone project,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
excourse71,big data essentials  hdfs  mapreduce and spark rdd,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
excourse72,foundations for big data analysis with sql,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
excourse73,analyzing big data with sql,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
excourse74,fundamentals of big data,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
excourse75,hadoop platform and application framework,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
excourse76,working with big data,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
excourse77,natural language processing with attention models,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse78,natural language processing with sequence models,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse79,natural language processing with probabilistic models,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
excourse80,r programming,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
excourse81,data analysis with r programming,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
excourse82,getting started with data visualization in r,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
excourse83,introduction to probability and data with r,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
excourse84,using r for regression and machine learning in investment ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
excourse85,data visualization in r with ggplot2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
excourse86,the r programming environment,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
excourse87,html  css  and javascript for web developers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
excourse88,javascript basics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
excourse89,javascript  jquery  and json,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
excourse90,programming foundations with javascript  html and css,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
excourse91,front end web development with react,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
excourse92,introduction to web development,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
excourse93,interactivity with javascript and jquery,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
